Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 6,2.8420780590717305,0.7795991561181435,40.0,1.0,0.7233586497890295,0.0562405063291139,0.11276160337552742,0.10763924050632907,0.940961490959741,0.337784367854711,0.7464034898287569,0.2140769345393711
1,EvolvedLookerUp2_2_2,2.8325210970464143,0.7499472573839663,49.5,1.0,0.6691329113924052,0.08081434599156115,0.14315400843881848,0.10689873417721514,0.8625436810886342,0.45990896198686004,0.5668468444644629,0.8677892527591388
2,Evolved HMM 5,2.821677215189874,0.748662447257384,44.0,1.0,0.697350210970464,0.05131223628691982,0.11997890295358653,0.13135864978902964,0.9980232377622655,0.502042891788785,0.03334738657435824,0.214568886871313
3,Evolved FSM 16,2.8203375527426164,0.7225210970464135,64.5,1.0,0.6287573839662447,0.09376371308016877,0.16426371308016868,0.11321518987341773,0.8361819943322538,0.5909954559863253,0.5280102868266938,0.37031613020219556
4,Evolved ANN 5,2.8195569620253167,0.7133945147679325,47.5,1.0,0.6964894514767932,0.01690506329113923,0.11072362869198317,0.17588185654008442,1.0,0.7273123310048402,0,0.3687042069121702
5,Evolved ANN,2.816761603375528,0.7299430379746835,46.5,1.0,0.711957805907173,0.017985232067510553,0.10207594936708869,0.1679810126582279,0.983975136514345,0.8369178096495224,0.4530015911127756,0.12493706069160553
6,Evolved FSM 16 Noise 05,2.8053797468354427,0.7241835443037975,45.5,1.0,0.7011940928270041,0.022989451476793245,0.106909282700422,0.1689071729957807,0.9836014139081665,0.5696915135706261,0.43508382057474454,0.08139501034836862
7,PSO Gambler 2_2_2,2.7968881856540087,0.696337552742616,46.0,1.0,0.6219873417721519,0.07435021097046413,0.15701687763713074,0.14664556962025319,0.8735884375422666,0.402079296990942,0.5070525437461697,0.42237617711414915
8,PSO Gambler 1_1_1,2.7937552742616036,0.7097616033755274,50.5,1.0,0.6753902953586499,0.03437130801687763,0.11922995780590717,0.17100843881856534,1.0,0.3019298757554413,0,0.14331025493580865
9,Evolved FSM 4,2.791824894514768,0.7828417721518988,38.5,1.0,0.6791983122362868,0.10364345991561182,0.1331919831223629,0.08396624472573845,0.9380990762424011,0.4486655019352487,0,0.7975299768628079
10,PSO Gambler Mem1,2.7918143459915616,0.7318037974683544,49.0,1.0,0.6897362869198311,0.04206751054852318,0.11314345991561187,0.15505274261603372,1.0,0.5207478751779909,0,0.12983785878436668
11,"Omega TFT: 3, 8",2.785432489451477,0.7309409282700422,39.0,1.0,0.7194746835443037,0.011466244725738392,0.08957172995780599,0.179487341772152,0.999596238628074,0.2023400529557565,0.6155427147112728,0.009967363611756552
12,"DBS: 0.75, 3, 4, 3, 5",2.774504219409284,0.7426751054852321,33.0,1.0,0.7148860759493673,0.027789029535864946,0.09286075949367087,0.16446413502109702,0.9882447244523984,0.7961376761472964,0.3404576393823425,0.1730504645590992
13,Original Gradual,2.7582383966244723,0.7937426160337553,40.0,1.0,0.753337552742616,0.040405063291139236,0.07310970464135028,0.13314767932489455,1.0,0.37821716868072236,0.38018149431541626,0.21946116943708766
14,Gradual,2.7551160337552743,0.7498333333333334,49.0,1.0,0.7284113924050631,0.021421940928270013,0.08021518987341784,0.169951476793249,1.0,0.3671579116325335,0.33464351800994246,0.1508194101354927
15,PSO Gambler 2_2_2 Noise 05,2.751740506329114,0.7235400843881856,48.0,1.0,0.6691729957805909,0.05436708860759495,0.11726160337552739,0.1591983122362869,0.8549533864979174,0.5078058516716474,0.6904957780839778,0.3460280729387636
16,Winner12,2.74909282700422,0.6852299578059071,51.0,1.0,0.6475949367088608,0.03763502109704639,0.12267932489451465,0.19209071729957808,1.0,0.42949010570217744,0,0.4480743951901585
17,"DoubleCrosser: (D, D)",2.744462025316455,0.6821244725738397,180.0,1.0,0.6661455696202531,0.015978902953586487,0.1074198312236288,0.2104556962025316,0.9963366232454636,0.8002236651869279,0.41841116413940754,0
18,Second by Rowsam,2.7285232067510545,0.7358607594936709,42.0,1.0,0.706951476793249,0.028909282700421937,0.08581856540084387,0.17832067510548522,0.9248497517569199,0.7383464772647891,0.5785645058668818,0.24403886022924864
19,Second by Borufsen,2.7268143459915617,0.8038670886075949,20.5,1.0,0.7630717299578057,0.040795358649789025,0.06000210970464139,0.1361308016877638,0.9986756972490327,0.15514293901589235,0.7935049424842129,0.11700374091031657
20,Second by GraaskampKatzen,2.726603375527427,0.6709873417721519,50.5,1.0,0.6602447257383965,0.01074261603375526,0.1037679324894515,0.22524472573839668,0.9952241407062821,0,0.5266993601809744,0
21,Spiteful Tit For Tat,2.726561181434599,0.6721793248945148,49.0,1.0,0.6380864978902954,0.0340928270042194,0.12075105485232064,0.20706962025316464,1.0,0,0.7078616800819746,0
22,Fool Me Once,2.726550632911393,0.6286793248945147,62.0,1.0,0.624175105485232,0.004504219409282701,0.12050421940928267,0.25081645569620253,1.0,0.5844298245614035,0,0
23,"EugineNier: (D,)",2.7233755274261555,0.6493902953586498,197.0,1.0,0.6426202531645573,0.006770042194092815,0.1112742616033754,0.23933544303797447,0.9966529949321304,0,0.46830272876745155,0
24,Forgetful Fool Me Once: 0.05,2.720685654008439,0.7531582278481013,49.5,1.0,0.7213881856540084,0.03177004219409282,0.07772362869198308,0.16911814345991566,1.0,0.6385932056057548,0.05813716541301043,0.054577772960783026
25,"BackStabber: (D, D)",2.720232067510548,0.6441540084388185,189.0,1.0,0.6360168776371306,0.008137130801687768,0.11387341772151914,0.2419725738396626,0.9967270860247648,0.7889860139860141,0,0
26,Revised Downing,2.715833333333334,0.7845759493670886,27.0,1.0,0.7292004219409284,0.055375527426160344,0.07874261603375525,0.1366814345991561,0.9807753526518659,0.755971704150894,0.4587866426705763,0.20615478729320721
27,Second by Kluepfel,2.708818565400844,0.7468333333333333,29.5,1.0,0.7201434599156118,0.02668987341772153,0.07221940928270042,0.1809472573839663,0.9754400569179552,0.35647225600125426,0.6007356362550367,0.09845871707911676
28,AON2,2.703122362869199,0.6818438818565401,47.5,1.0,0.6039725738396625,0.07787130801687767,0.1444789029535865,0.17367721518987345,0.9953164288588742,0.19493881465736107,0,0.4692196854333458
29,"Michaelos: (D,)",2.7006434599156104,0.6089894514767933,200.0,1.0,0.6051666666666671,0.003822784810126575,0.12181012658227831,0.269200421940928,0.9966460242634095,0,0.18184909741887884,0
30,MEM2,2.6968670886075956,0.5998143459915611,75.0,1.0,0.5963333333333334,0.003481012658227849,0.1268016877637131,0.2733839662447258,0.9969256288612605,0.29399817269565165,0.290874918365953,0
31,NMWE Memory One: 36 players,2.6960654008438825,0.5758839662447257,76.5,1.0,0.567324894514768,0.008559071729957799,0.1422447257383966,0.28187130801687765,0.8586080804116526,0.2652626573453241,0.13616568266233744,0.03273982856340603
